,Fator de atrito (chute),função 1/√f,função de colebroke
550,110.11011011011011,0.09529857387085172,20.622991376918574
551,110.31031031031031,0.09521205676371057,20.622993420822365
552,110.51051051051051,0.09512577486400971,20.622995457322784
553,110.71071071071071,0.09503972710794291,20.622997486459983
554,110.91091091091091,0.09495391243842784,20.622999508273825
555,111.11111111111111,0.09486832980505139,20.623001522803882
556,111.31131131131131,0.09478297816401576,20.62300353008945
557,111.51151151151151,0.09469785647808501,20.623005530169532
558,111.71171171171171,0.09461296371653204,20.62300752308286
559,111.91191191191191,0.09452829885508622,20.623009508867877
560,112.11211211211211,0.09444386087588148,20.62301148756277
561,112.31231231231232,0.09435964876740492,20.62301345920544
562,112.51251251251252,0.09427566152444589,20.623015423833518
563,112.71271271271272,0.09419189814804559,20.623017381484377
564,112.91291291291292,0.09410835764544723,20.623019332195117
565,113.11311311311312,0.09402503903004651,20.62302127600258
566,113.31331331331332,0.0939419413213428,20.623023212943345
567,113.51351351351352,0.09385906354489058,20.62302514305373
568,113.71371371371372,0.0937764047322515,20.623027066369808
569,113.91391391391392,0.09369396392094682,20.623028982927387
570,114.11411411411412,0.09361174015441034,20.623030892762028
571,114.31431431431432,0.09352973248194185,20.623032795909047
572,114.51451451451452,0.09344793995866084,20.623034692403508
573,114.71471471471472,0.09336636164546092,20.62303658228023
574,114.91491491491492,0.09328499660896437,20.623038465573792
575,115.11511511511512,0.09320384392147746,20.623040342318532
576,115.31531531531532,0.09312290266094587,20.623042212548548
577,115.51551551551552,0.09304217191091081,20.623044076297703
578,115.71571571571572,0.09296165076046534,20.62304593359963
579,115.91591591591592,0.09288133830421129,20.62304778448772
580,116.11611611611612,0.09280123364221642,20.623049628995144
581,116.31631631631632,0.09272133587997214,20.623051467154834
582,116.51651651651652,0.09264164412835149,20.623053298999505
583,116.71671671671672,0.09256215750356765,20.623055124561645
584,116.91691691691692,0.09248287512713271,20.623056943873518
585,117.11711711711712,0.09240379612581692,20.62305875696717
586,117.31731731731732,0.09232491963160833,20.62306056387442
587,117.51751751751752,0.09224624478167268,20.623062364626882
588,117.71771771771772,0.09216777071831386,20.62306415925595
589,117.91791791791792,0.09208949658893459,20.623065947792803
590,118.11811811811812,0.09201142154599751,20.62306773026841
591,118.31831831831832,0.09193354474698663,20.62306950671353
592,118.51851851851852,0.09185586535436918,20.62307127715872
593,118.71871871871872,0.09177838253555774,20.62307304163432
594,118.91891891891892,0.09170109546287279,20.62307480017047
595,119.11911911911912,0.09162400331350555,20.62307655279712
596,119.31931931931932,0.09154710526948122,20.623078299543995
597,119.51951951951952,0.0914704005176225,20.62308004044064
598,119.71971971971973,0.09139388824951343,20.623081775516397
599,119.91991991991993,0.09131756766146373,20.623083504800412
600,120.12012012012013,0.09124143795447329,20.62308522832163
601,120.32032032032033,0.09116549833419692,20.62308694610882
602,120.52052052052053,0.0910897480109097,20.62308865819054
603,120.72072072072073,0.09101418619947244,20.623090364595175
604,120.92092092092093,0.0909388121192974,20.62309206535091
605,121.12112112112113,0.09086362499431462,20.62309376048575
606,121.32132132132134,0.09078862405293817,20.623095450027517
607,121.52152152152154,0.09071380852803296,20.623097134003846
608,121.72172172172174,0.09063917765688184,20.623098812442187
609,121.92192192192194,0.09056473068115288,20.62310048536982
610,122.12212212212214,0.09049046684686698,20.623102152813836
611,122.32232232232234,0.09041638540436592,20.62310381480115
612,122.52252252252254,0.09034248560828041,20.623105471358514
613,122.72272272272274,0.09026876671749873,20.623107122512483
614,122.92292292292294,0.09019522799513542,20.62310876828946
615,123.12312312312314,0.09012186870850046,20.623110408715664
616,123.32332332332334,0.09004868812906845,20.623112043817144
617,123.52352352352354,0.08997568553244835,20.62311367361979
618,123.72372372372374,0.08990286019835331,20.62311529814932
619,123.92392392392394,0.08983021141057083,20.623116917431275
620,124.12412412412414,0.0897577384569332,20.623118531491045
621,124.32432432432434,0.08968544062928813,20.623120140353848
622,124.52452452452454,0.0896133172234697,20.623121744044752
623,124.72472472472474,0.08954136753926963,20.62312334258865
624,124.92492492492494,0.08946959088040858,20.623124936010278
625,125.12512512512514,0.08939798655450804,20.62312652433422
